Atlas;ID;Localidad;Provincia;Comunidad;Transcripcion_ortografica;Variantes;Preposicion_anterior;Casa;Preposicion_posterior
ALECMan;AB 103; La Roda ;Albacete;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;AB 206; Balsa de Ves ;Albacete;Castilla La Mancha;NA;NA;NA;NA;NA
ALECMan;AB 207; Villamalea ;Albacete;Castilla La Mancha;ca el;ca;no;ca;articulo_pleno
ALECMan;AB 208; Alcalá del Júcar ;Albacete;Castilla La Mancha;ca el;ca;no;ca;articulo_pleno
ALECMan;AB 209; Navas de Jorquera ;Albacete;Castilla La Mancha;a ca;a ca;a;ca;no
ALECMan;AB 210; Carcelén ;Albacete;Castilla La Mancha;ca el;ca;no;ca;articulo_pleno
ALECMan;AB 211; Motilleja ;Albacete;Castilla La Mancha;ca el;ca;no;ca;articulo_pleno
ALECMan;AB 213; Casas de Juan Núñez;Albacete;Castilla La Mancha;ca el;ca;no;ca;articulo_pleno
ALECMan;AB 304; Albacete;Albacete;Castilla La Mancha;NA;NA;NA;NA;NA
ALECMan;AB 306; Balazote ;Albacete;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;AB 307; El Bonillo ;Albacete;Castilla La Mancha;an ca;an ca;an;ca;no
ALECMan;AB 308; Masegoso ;Albacete;Castilla La Mancha;ca;ca;no;ca;no
ALECMan;AB 309; Alcaraz ;Albacete;Castilla La Mancha;an ca;an ca;an;ca;no
ALECMan;AB 310; Pozohondo;Albacete;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;AB 311; Salobre ;Albacete;Castilla La Mancha;casa el;casa;no;casa;articulo_pleno
ALECMan;AB 312; Paterna del Madera ;Albacete;Castilla La Mancha;ca, ca el;ca;no;ca;no
ALECMan;AB 312; Paterna del Madera ;Albacete;Castilla La Mancha;ca, ca el;ca;no;ca;articulo_pleno
ALECMan;AB 404; Higueruela ;Albacete;Castilla La Mancha;casa el;casa;no;casa;articulo_pleno
ALECMan;AB 405; Chinchilla del Monte ;Albacete;Castilla La Mancha;ca el;ca;no;ca;articulo_pleno
ALECMan;AB 406; Almansa ;Albacete;Castilla La Mancha;ca el;ca;no;ca;articulo_pleno
ALECMan;AB 407; Corral Rubio ;Albacete;Castilla La Mancha;casa del;casa de;no;casa;de
ALECMan;AB 409; Tobarra ;Albacete;Castilla La Mancha;casa el;casa;no;casa;articulo_pleno
ALECMan;AB 503; Molinicos ;Albacete;Castilla La Mancha;ca, casa el;ca;no;ca;no
ALECMan;AB 503; Molinicos ;Albacete;Castilla La Mancha;ca, casa el;casa;no;casa;articulo_pleno
ALECMan;AB 504; Letur ;Albacete;Castilla La Mancha;a ca;a ca;a;ca;no
ALECMan;AB 505; Villaverde de Guadalimar ;Albacete;Castilla La Mancha;casa;casa;no;casa;no
ALECMan;AB 600; Hellín ;Albacete;Castilla La Mancha;ca el;ca;no;ca;articulo_pleno
ALECMan;CR 101; Anchuras ;Ciudad Real;Castilla La Mancha;en casa;en casa;en;casa;no
ALECMan;CR 102; Retuerta del Bullaque ;Ciudad Real;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;CR 103; Navalpino ;Ciudad Real;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;CR 104; Malagón ;Ciudad Real;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;CR 202; Tomelloso ;Ciudad Real;Castilla La Mancha;an ca;an ca;an;ca;no
ALECMan;CR 203; Herencia ;Ciudad Real;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;CR 302; Ciudad Real ;Ciudad Real;Castilla La Mancha;NA;NA;NA;NA;NA
ALECMan;CR 305; Luciana ;Ciudad Real;Castilla La Mancha;NA;NA;NA;NA;NA
ALECMan;CR 306; Fernancaballero ;Ciudad Real;Castilla La Mancha;a casa;a casa;a;casa;no
ALECMan;CR 307; Agudo ;Ciudad Real;Castilla La Mancha;an ca l;an ca;an;ca;no
ALECMan;CR 308; Alcolea de Calatrava ;Ciudad Real;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;CR 309; Cabezarados;Ciudad Real;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;CR 310; Pozuelo de Calatrava ;Ciudad Real;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;CR 405; Torralba de Calatrava ;Ciudad Real;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;CR 406; Membrilla ;Ciudad Real;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;CR 407; Moral de Calatrava ;Ciudad Real;Castilla La Mancha;an ca;an ca;an;ca;no
ALECMan;CR 408; Villahermosa ;Ciudad Real;Castilla La Mancha;NA;NA;NA;NA;NA
ALECMan;CR 503; Alamillo ;Ciudad Real;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;CR 504; Villamayor de Calatrava ;Ciudad Real;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;CR 505; Brazatortas ;Ciudad Real;Castilla La Mancha;en casa;en casa;en;casa;no
ALECMan;CR 506; Aldea del Rey ;Ciudad Real;Castilla La Mancha;an ca;an ca;an;ca;no
ALECMan;CR 507; Fuencaliente ;Ciudad Real;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;CR 508; Puertollano ;Ciudad Real;Castilla La Mancha;a casa, en ca;a casa;a;casa;no
ALECMan;CR 508; Puertollano ;Ciudad Real;Castilla La Mancha;a casa, en ca;en ca;en;ca;no
ALECMan;CR 509; Solana del Pino ;Ciudad Real;Castilla La Mancha;NA;NA;NA;NA;NA
ALECMan;CR 510; Mestanza ;Ciudad Real;Castilla La Mancha;an ca;an ca;an;ca;no
ALECMan;CR 605; Torrenueva ;Ciudad Real;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;CR 606; Villanueva de los Infantes ;Ciudad Real;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;CR 608; Montiel ;Ciudad Real;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;CR 610; Villamanrique ;Ciudad Real;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;CR 611; Almuradiel ;Ciudad Real;Castilla La Mancha;an ca;an ca;an;ca;no
ALECMan;CU 104; Alcantud ;Cuenca;Castilla La Mancha;NA;NA;NA;NA;NA
ALECMan;CU 105; Castejón ;Cuenca;Castilla La Mancha;NA;NA;NA;NA;NA
ALECMan;CU 106; Cañaveras ;Cuenca;Castilla La Mancha;a ca;a ca;a;ca;no
ALECMan;CU 107; Barajas de Melo ;Cuenca;Castilla La Mancha;an ca;an ca;an;ca;no
ALECMan;CU 109; Huete ;Cuenca;Castilla La Mancha;an ca;an ca;an;ca;no
ALECMan;CU 202; Masegosa ;Cuenca;Castilla La Mancha;NA;NA;NA;NA;NA
ALECMan;CU 203; Arcos de la Sierra ;Cuenca;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;CU 204; Tragacete ;Cuenca;Castilla La Mancha;an ca;an ca;an;ca;no
ALECMan;CU 205; Uña ;Cuenca;Castilla La Mancha;NA;NA;NA;NA;NA
ALECMan;CU 206; Zafrilla ;Cuenca;Castilla La Mancha;an ca;an ca;an;ca;no
ALECMan;CU 300; Cuenca ;Cuenca;Castilla La Mancha;NA;NA;NA;NA;NA
ALECMan;CU 310; Abia de la Obispalía ;Cuenca;Castilla La Mancha;an ca;an ca;an;ca;no
ALECMan;CU 311; Horcajo de Santiago ;Cuenca;Castilla La Mancha;an ca;an ca;an;ca;no
ALECMan;CU 312; Zafra de Záncara ;Cuenca;Castilla La Mancha;NA;NA;NA;NA;NA
ALECMan;CU 313; Saelices ;Cuenca;Castilla La Mancha;en casa;en casa;en;casa;no
ALECMan;CU 314; Belmontejo ;Cuenca;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;CU 315; Hontanaya ;Cuenca;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;CU 405; Valdemorillo de la Sierra ;Cuenca;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;CU 406; Alcalá de la Vega ;Cuenca;Castilla La Mancha;ca el;ca;no;ca;articulo_pleno
ALECMan;CU 407; Reíllo ;Cuenca;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;CU 408; Moya ;Cuenca;Castilla La Mancha;ca el;ca;no;ca;articulo_pleno
ALECMan;CU 409; Cardenete ;Cuenca;Castilla La Mancha;ca del;ca de;no;ca;de
ALECMan;CU 505; Mota del Cuervo ;Cuenca;Castilla La Mancha;an ca;an ca;an;ca;no
ALECMan;CU 506; Buenache de Alarcón ;Cuenca;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;CU 507; Las Pedroñeras ;Cuenca;Castilla La Mancha;an ca;an ca;an;ca;no
ALECMan;CU 508; San Clemente ;Cuenca;Castilla La Mancha;an ca;an ca;an;ca;no
ALECMan;CU 604; Mira ;Cuenca;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;CU 605; Alarcón ;Cuenca;Castilla La Mancha;an ca;an ca;an;ca;no
ALECMan;CU 606; Campillo de Altobuey ;Cuenca;Castilla La Mancha;ca el;ca;no;ca;articulo_pleno
ALECMan;CU 607; Casas de Benítez ;Cuenca;Castilla La Mancha;NA;NA;NA;NA;NA
ALECMan;CU 608; Minglanilla ;Cuenca;Castilla La Mancha;casa del;casa de;no;casa;de
ALECMan;CU 609; Villagarcía del Llano;Cuenca;Castilla La Mancha;casa del;casa de;no;casa;de
ALECMan;GU 105; Miedes de Atienza ;Guadalajara;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;GU 106; Sienes ;Guadalajara;Castilla La Mancha;a casa;a casa;a;casa;no
ALECMan;GU 107; Galve de Sorbe ;Guadalajara;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;GU 108; Sigüenza ;Guadalajara;Castilla La Mancha;casa del;casa de;no;casa;de
ALECMan;GU 109; Bustares ;Guadalajara;Castilla La Mancha;NA;NA;NA;NA;NA
ALECMan;GU 110; Alocolea del Pinar ;Guadalajara;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;GU 111; Robledo de Corpes ;Guadalajara;Castilla La Mancha;a casa;a casa;a;casa;no
ALECMan;GU 112; Matillas ;Guadalajara;Castilla La Mancha;a casa;a casa;a;casa;no
ALECMan;GU 113; La Toba ;Guadalajara;Castilla La Mancha;en casa de;en casa de;en;casa;de
ALECMan;GU 203; Villel de Mesa ;Guadalajara;Castilla La Mancha;a ca;a ca;a;ca;no
ALECMan;GU 204; La Yunta ;Guadalajara;Castilla La Mancha;a ca;a ca;a;ca;no
ALECMan;GU 205; Maranchón ;Guadalajara;Castilla La Mancha;a ca;a ca;a;ca;no
ALECMan;GU 308; Guadalajara ;Guadalajara;Castilla La Mancha;NA;NA;NA;NA;NA
ALECMan;GU 309; Cogolludo ;Guadalajara;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;GU 310; Abádanes ;Guadalajara;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;GU 311; Valdepeñas de la Sierra ;Guadalajara;Castilla La Mancha;an ca;an ca;an;ca;no
ALECMan;GU 312; Ledanca ;Guadalajara;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;GU 313; Humanes ;Guadalajara;Castilla La Mancha;en casa;en casa;en;casa;no
ALECMan;GU 314; Brihuega ;Guadalajara;Castilla La Mancha;en casa de;en casa de;en;casa;de
ALECMan;GU 315; Casar de Talamanca ;Guadalajara;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;GU 316; Trillo ;Guadalajara;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;GU 317; Azuqueca de Henares ;Guadalajara;Castilla La Mancha;en casa;en casa;en;casa;no
ALECMan;GU 318; Peñalver ;Guadalajara;Castilla La Mancha;an ca;an ca;an;ca;no
ALECMan;GU 401; Molina de Aragón ;Guadalajara;Castilla La Mancha;a casa;a casa;a;casa;no
ALECMan;GU 407; Villanueva de Alcorón ;Guadalajara;Castilla La Mancha;en casa;en casa;en;casa;no
ALECMan;GU 408; Tordellego ;Guadalajara;Castilla La Mancha;NA;NA;NA;NA;NA
ALECMan;GU 410; Checa ;Guadalajara;Castilla La Mancha;a casa;a casa;a;casa;no
ALECMan;GU 505; Loranca de Tajuña ;Guadalajara;Castilla La Mancha;en casa;en casa;en;casa;no
ALECMan;GU 506; Auñón ;Guadalajara;Castilla La Mancha;a casa, en ca;a casa;a;casa;no
ALECMan;GU 506; Auñón ;Guadalajara;Castilla La Mancha;a casa, en ca;en ca;en;ca;no
ALECMan;GU 507; Mondéjar ;Guadalajara;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;GU 508; Alcocer ;Guadalajara;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;GU 509; Pastrana ;Guadalajara;Castilla La Mancha;en casa, en ca l;en casa;en;casa;no
ALECMan;GU 509; Pastrana ;Guadalajara;Castilla La Mancha;en casa, en ca l;en ca;en;ca;no
ALECMan;GU 510; Albalate de Zorita ;Guadalajara;Castilla La Mancha;en ca el;en ca;en;ca;articulo_pleno
ALECMan;TO 100; La Iglesuela ;Toledo;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;TO 103; Buenaventura ;Toledo;Castilla La Mancha;en ca, en casa;en ca;en;casa;no
ALECMan;TO 103; Buenaventura ;Toledo;Castilla La Mancha;en ca, en casa;en casa;en;ca;no
ALECMan;TO 104; Almorox ;Toledo;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;TO 105; Castillo de Bayuela ;Toledo;Castilla La Mancha;en ca, en casa;en ca;en;ca;no
ALECMan;TO 105; Castillo de Bayuela ;Toledo;Castilla La Mancha;en ca, en casa;en casa;en;casa;no
ALECMan;TO 106; Nombela ;Toledo;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;TO 107; Oropesa ;Toledo;Castilla La Mancha;en ca, en casa;en ca;en;ca;no
ALECMan;TO 107; Oropesa ;Toledo;Castilla La Mancha;en ca, en casa;en casa;en;casa;no
ALECMan;TO 108; Portillo de Toledo ;Toledo;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;TO 109; La Calzada de Oropesa ;Toledo;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;TO 110; Santa Olalla ;Toledo;Castilla La Mancha;a casa, en ca;a casa;a;casa;no
ALECMan;TO 110; Santa Olalla ;Toledo;Castilla La Mancha;a casa, en ca;en ca;en;ca;no
ALECMan;TO 112; Santo Domingo-Caudilla ;Toledo;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;TO 113; Mejorada ;Toledo;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;TO 114; Villamiel de Toledo ;Toledo;Castilla La Mancha;en ca, en casa;en ca;en;ca;no
ALECMan;TO 114; Villamiel de Toledo ;Toledo;Castilla La Mancha;en ca, en casa;en casa;en;casa;no
ALECMan;TO 201; Carranque ;Toledo;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;TO 202; Seseña ;Toledo;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;TO 203; Méntrida ;Toledo;Castilla La Mancha;an ca;an ca;an;ca;no
ALECMan;To 301; Talavera de la Reina ;Toledo;Castilla La Mancha;en casa;en casa;en;casa;no
ALECMan;TO 307; Valdeverdeja ;Toledo;Castilla La Mancha;en ca, an ca;en ca;en;ca;no
ALECMan;TO 307; Valdeverdeja ;Toledo;Castilla La Mancha;en ca, an ca;an ca;an;ca;no
ALECMan;TO 308; Cebolla ;Toledo;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;TO 309; Navalmoralejo ;Toledo;Castilla La Mancha;en casa;en casa;en;casa;no
ALECMan;TO 310; El Carpio de Tajo ;Toledo;Castilla La Mancha;a casa, en ca;a casa;a;casa;no
ALECMan;TO 310; El Carpio de Tajo ;Toledo;Castilla La Mancha;a casa, en ca;en ca;en;ca;no
ALECMan;TO 311; Belvís de la Jara ;Toledo;Castilla La Mancha;en casa;en casa;en;casa;no
ALECMan;TO 312; Polán ;Toledo;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;TO 407; Toledo ;Toledo;Castilla La Mancha;NA;NA;NA;NA;NA
ALECMan;TO 408; Villarrubia de Santiago ;Toledo;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;TO 409; Cedillo del Condado ;Toledo;Castilla La Mancha;en casa, en ca;en casa;en;casa;no
ALECMan;TO 409; Cedillo del Condado ;Toledo;Castilla La Mancha;en casa, en ca;en ca;en;ca;no
ALECMan;TO 410; Ocaña ;Toledo;Castilla La Mancha;al;otros;NA;NA;NA
ALECMan;TO 411; Yunclillos ;Toledo;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;TO 412; Yepes ;Toledo;Castilla La Mancha;en casa, an ca;en casa;en;casa;no
ALECMan;TO 412; Yepes ;Toledo;Castilla La Mancha;en casa, an ca;an ca;an;ca;no
ALECMan;TO 413; Cobeja ;Toledo;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;TO 414; Cabañas de Yepes ;Toledo;Castilla La Mancha;an ca;an ca;an;ca;no
ALECMan;TO 415; Añover de Tajo ;Toledo;Castilla La Mancha;NA;NA;NA;NA;NA
ALECMan;TO 502; Navahermosa ;Toledo;Castilla La Mancha;en ca, an ca;en ca;en;ca;no
ALECMan;TO 502; Navahermosa ;Toledo;Castilla La Mancha;en ca, an ca;an ca;an;ca;no
ALECMan;TO 503; Mohedas de la Jara ;Toledo;Castilla La Mancha;a casa;a casa;a;casa;no
ALECMan;TO 504; Cuerva ;Toledo;Castilla La Mancha;en ca, an ca;en ca;en;ca;no
ALECMan;TO 504; Cuerva ;Toledo;Castilla La Mancha;en ca, an ca;an ca;an;ca;no
ALECMan;TO 505; Sevilleja de la Jara ;Toledo;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;TO 507; Los Navalucillos ;Toledo;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;TO 605; Mazarambroz ;Toledo;Castilla La Mancha;an ca;an ca;an;ca;no
ALECMan;TO 606; Quintanar de la Orden ;Toledo;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;TO 607; Mora ;Toledo;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;TO 608; Villacañas ;Toledo;Castilla La Mancha;en ca;en ca;en;ca;no
ALECMan;TO 609; Los Yébenes ;Toledo;Castilla La Mancha;an ca;an ca;an;ca;no
ALECMan;TO 610; Camuñas;Toledo;Castilla La Mancha;NA;NA;NA;NA;NA